Area,Year,Species,Count
Cairns,2001,Shark,79
Cairns,2001,Turtle,4
Cairns,2002,Shark,46
Cairns,2002,Turtle,6
Cairns,2003,Shark,66
Cairns,2003,Turtle,1
Cairns,2004,Shark,62
Cairns,2004,Turtle,3
Cairns,2005,Shark,66
Cairns,2005,Turtle,2
Townsville,2001,Shark,89
Townsville,2001,Turtle,3
Townsville,2002,Shark,59
Townsville,2002,Turtle,2
Townsville,2003,Shark,58
Townsville,2003,Turtle,5
Townsville,2004,Shark,76
Townsville,2004,Turtle,1
Townsville,2005,Shark,90
Townsville,2005,Turtle,1
Gold_Coast,2001,Shark,85
Gold_Coast,2001,Turtle,27
Gold_Coast,2002,Shark,73
Gold_Coast,2002,Turtle,22
Gold_Coast,2003,Shark,75
Gold_Coast,2003,Turtle,8
Gold_Coast,2004,Shark,75
Gold_Coast,2004,Turtle,4
Gold_Coast,2005,Shark,78
Gold_Coast,2005,Turtle,8